time,round_date,date_time,turbidity_clearwell_ntu
10:00:00,2018-04-15,"2018-04-15 10:00:00",0.0500
14:00:00,2018-04-15,"2018-04-15 14:00:00",0.0500
17:00:00,2018-04-15,"2018-04-15 17:00:00",0.0500
21:00:00,2018-04-15,"2018-04-15 21:00:00",0.0500
23:00:00,2018-04-15,"2018-04-15 23:00:00",0.0500
02:00:00,2018-04-16,"2018-04-16 02:00:00",0.0500
04:00:00,2018-04-16,"2018-04-16 04:00:00",0.0500
08:00:00,2018-04-16,"2018-04-16 08:00:00",0.0500
11:00:00,2018-04-16,"2018-04-16 11:00:00",0.0500
14:00:00,2018-04-16,"2018-04-16 14:00:00",0.0500
17:00:00,2018-04-16,"2018-04-16 17:00:00",0.0500
19:00:00,2018-04-16,"2018-04-16 19:00:00",0.0500
21:00:00,2018-04-16,"2018-04-16 21:00:00",0.0500
23:00:00,2018-04-16,"2018-04-16 23:00:00",0.0500
02:00:00,2018-04-17,"2018-04-17 02:00:00",0.0500
05:00:00,2018-04-17,"2018-04-17 05:00:00",0.0500
08:00:00,2018-04-17,"2018-04-17 08:00:00",0.0500
11:00:00,2018-04-17,"2018-04-17 11:00:00",0.0500
14:00:00,2018-04-17,"2018-04-17 14:00:00",0.0600
17:00:00,2018-04-17,"2018-04-17 17:00:00",0.0500
20:00:00,2018-04-17,"2018-04-17 20:00:00",0.0500
23:00:00,2018-04-17,"2018-04-17 23:00:00",0.0500
02:00:00,2018-04-18,"2018-04-18 02:00:00",0.0400
05:00:00,2018-04-18,"2018-04-18 05:00:00",0.0400
08:00:00,2018-04-18,"2018-04-18 08:00:00",0.0500
11:00:00,2018-04-18,"2018-04-18 11:00:00",0.0500
14:00:00,2018-04-18,"2018-04-18 14:00:00",0.0600
17:00:00,2018-04-18,"2018-04-18 17:00:00",0.0500
20:00:00,2018-04-18,"2018-04-18 20:00:00",0.0500
23:00:00,2018-04-18,"2018-04-18 23:00:00",0.0500
02:00:00,2018-04-19,"2018-04-19 02:00:00",0.0500
05:00:00,2018-04-19,"2018-04-19 05:00:00",0.0500
08:00:00,2018-04-19,"2018-04-19 08:00:00",0.0600
11:00:00,2018-04-19,"2018-04-19 11:00:00",0.0600
14:00:00,2018-04-19,"2018-04-19 14:00:00",0.0600
17:00:00,2018-04-19,"2018-04-19 17:00:00",0.0500
19:00:00,2018-04-19,"2018-04-19 19:00:00",0.0500
21:00:00,2018-04-19,"2018-04-19 21:00:00",0.0500
23:00:00,2018-04-19,"2018-04-19 23:00:00",0.0500
02:00:00,2018-04-20,"2018-04-20 02:00:00",0.0500
05:00:00,2018-04-20,"2018-04-20 05:00:00",0.0500
07:00:00,2018-04-20,"2018-04-20 07:00:00",0.0500
